image_id,property_id,property_address,property_price,property_url,image_url,image_order
2661,5851,Koninginneweg 271-1,750000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-koninginneweg-271-1/43141835/,https://cloud.funda.nl/valentina_media/220/775/725.jpg?options=width=1440,2
2666,5852,Marnixstraat 188-1,600000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-marnixstraat-188-1/89612412/,https://cloud.funda.nl/valentina_media/221/076/800.jpg?options=width=1440,2
2671,5853,Haarlemmerplein 23-1,625000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-haarlemmerplein-23-1/43256285/,https://cloud.funda.nl/valentina_media/221/006/142.jpg?options=width=1440,2
2676,5854,Doggersbankstraat 24-1,375000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-doggersbankstraat-24-1/43116972/,https://cloud.funda.nl/valentina_media/219/227/092.jpg?options=width=1440,2
2681,5855,Bestevâerstraat 275-A,735000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bestevaerstraat-275-a/89585628/,https://cloud.funda.nl/valentina_media/219/901/846.jpg?options=width=1440,2
2686,5856,Eerste Atjehstraat 113-2,450000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-eerste-atjehstraat-113-2/89579244/,https://cloud.funda.nl/valentina_media/219/168/578.jpg?options=width=1440,2
2691,5857,Amsteldijk 64-3,975000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-amsteldijk-64-3/43102437/,https://cloud.funda.nl/valentina_media/219/031/240.jpg?options=width=1440,2
2696,5858,Chestertonlaan 189,275000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-chestertonlaan-189/43101069/,https://cloud.funda.nl/valentina_media/219/012/731.jpg?options=width=1440,2
2701,5859,Bronckhorststraat 30-H,1075000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bronckhorststraat-30-h/43129852/,https://cloud.funda.nl/valentina_media/219/807/139.jpg?options=width=1440,2
2706,5860,Eerste Constantijn Huygensstraat 32-C,1750000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-eerste-constantijn-huygensstraat-32-c/43275957/,https://cloud.funda.nl/valentina_media/221/806/437.jpg?options=width=1440,2
2711,5861,Vleutenstraat 35,330000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-vleutenstraat-35/43200490/,https://cloud.funda.nl/valentina_media/223/168/812.jpg?options=width=1440,2
2716,5862,President Brandstraat 174,385000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-president-brandstraat-174/43290084/,https://cloud.funda.nl/valentina_media/222/812/947.jpg?options=width=1440,2
2721,5863,Rijnsburgstraat 84-2,525000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-rijnsburgstraat-84-2/43279031/,https://cloud.funda.nl/valentina_media/221/976/772.jpg?options=width=1440,2
2726,5864,Leerdamhof 286,285000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-leerdamhof-286/43278663/,https://cloud.funda.nl/valentina_media/221/911/135.jpg?options=width=1440,2
2731,5865,Polderweg 478-B,750000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-polderweg-478-b/43296449/,https://cloud.funda.nl/valentina_media/222/634/297.jpg?options=width=1440,2
2736,5866,Montelbaanstraat 15-4,525000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-montelbaanstraat-15-4/43274114/,https://cloud.funda.nl/valentina_media/222/192/443.jpg?options=width=1440,2
2741,5867,Spuistraat 36-C,599000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-spuistraat-36-c/43285022/,https://cloud.funda.nl/valentina_media/222/231/668.jpg?options=width=1440,2
2746,5868,Kikkenstein 2719,330000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-kikkenstein-2719/43209855/,https://cloud.funda.nl/valentina_media/223/150/631.jpg?options=width=1440,2
2751,5869,Kleine Bickersstraat 5,510000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-kleine-bickersstraat-5/43250586/,https://cloud.funda.nl/valentina_media/221/151/158.jpg?options=width=1440,2
2757,5871,Bilderdijkstraat 79-E,600000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bilderdijkstraat-79-e/43259073/,https://cloud.funda.nl/valentina_media/221/128/644.jpg?options=width=1440,2
2762,5872,Titus van Rijnstraat 274,730000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-titus-van-rijnstraat-274/43254699/,https://cloud.funda.nl/valentina_media/221/325/842.jpg?options=width=1440,2
2767,5873,Bos en Lommerweg 165-C,450000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bos-en-lommerweg-165-c/43201042/,https://cloud.funda.nl/valentina_media/223/228/462.jpg?options=width=1440,2
2772,5874,President Brandstraat 110,625000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-president-brandstraat-110/43293118/,https://cloud.funda.nl/valentina_media/222/934/335.jpg?options=width=1440,2
2777,5875,Pieter Langendijkstraat 42-2,540000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-pieter-langendijkstraat-42-2/43229806/,https://cloud.funda.nl/valentina_media/223/885/193.jpg?options=width=1440,2
2782,5876,Van Nijenrodeweg 80,580000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-van-nijenrodeweg-80/43214357/,https://cloud.funda.nl/valentina_media/223/720/416.jpg?options=width=1440,2
2787,5877,Geuzenstraat 61-H,375000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-geuzenstraat-61-h/43229043/,https://cloud.funda.nl/valentina_media/223/894/901.jpg?options=width=1440,2
2792,5878,Slauerhoffstraat 40-3,365000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-slauerhoffstraat-40-3/43224848/,https://cloud.funda.nl/valentina_media/224/082/482.jpg?options=width=1440,2
